Open,High,Low,Close,Moving Average 200,Moving Average 50,Exp Moving Average 10,Exp Moving Average 20
282.44,283.04,281.49,281.59,268.14,281.06,283.28,283.36
276.48,278.04,275.34,277.65,268.25,281.07,282.26,282.81
277.65,277.81,276.00,276.88,268.35,281.08,281.28,282.25
276.87,277.07,274.11,274.18,268.43,281.04,279.99,281.48
274.18,274.37,272.55,272.88,268.50,280.96,278.70,280.66
272.88,273.90,272.14,273.61,268.60,280.89,277.77,279.99
273.61,273.86,272.80,272.96,268.68,280.79,276.90,279.32
272.96,273.50,272.02,273.41,268.77,280.72,276.26,278.76
273.41,274.62,273.21,274.47,268.85,280.63,275.94,278.35
274.49,275.00,273.72,274.02,268.93,280.52,275.59,277.94
274.02,275.69,273.56,274.93,269.00,280.46,275.47,277.65
274.93,275.13,273.24,273.49,269.07,280.38,275.11,277.25
273.49,274.81,272.58,274.29,269.14,280.33,274.96,276.97
274.29,275.51,272.50,273.17,269.21,280.24,274.63,276.61
278.38,278.90,277.05,277.81,269.30,280.23,275.21,276.72
277.81,278.22,276.91,277.70,269.39,280.20,275.66,276.82
277.74,278.67,277.45,277.59,269.48,280.16,276.01,276.89
277.63,278.64,277.26,278.25,269.57,280.18,276.42,277.02
278.25,279.05,278.18,278.68,269.66,280.21,276.83,277.18
278.67,279.15,278.38,278.86,269.76,280.23,277.20,277.34
278.86,279.30,278.32,278.59,269.84,280.25,277.45,277.46
278.59,279.24,278.22,279.22,269.93,280.28,277.77,277.63
279.22,279.50,278.82,279.24,270.01,280.30,278.04,277.78
279.24,279.51,278.96,279.24,270.09,280.30,278.26,277.92
279.24,280.24,279.24,279.99,270.19,280.32,278.57,278.12
280.00,280.38,279.71,279.98,270.29,280.21,278.83,278.29
279.98,281.00,279.07,279.17,270.39,280.12,278.89,278.38
280.46,282.38,280.15,281.52,270.50,280.08,279.37,278.68
281.52,282.61,281.02,282.44,270.61,280.08,279.93,279.03
282.44,283.94,282.40,283.28,270.73,280.07,280.54,279.44
283.29,283.40,282.66,283.25,270.86,280.07,281.03,279.80
283.25,283.31,281.80,282.29,270.99,280.03,281.26,280.04
282.31,283.12,282.08,283.03,271.16,280.01,281.58,280.32
283.03,283.12,278.88,281.01,271.32,279.95,281.48,280.39
281.03,282.01,279.67,280.30,271.47,279.89,281.26,280.38
280.30,281.03,279.06,279.88,271.62,279.81,281.01,280.33
279.88,280.79,278.75,280.59,271.78,279.73,280.94,280.36
280.58,281.53,280.21,281.33,271.95,279.62,281.01,280.45
281.32,281.42,279.25,279.95,272.12,279.56,280.81,280.40
279.94,280.69,279.03,279.08,272.28,279.46,280.50,280.28
280.69,281.29,278.77,278.86,272.43,279.34,280.20,280.14
278.89,280.91,278.81,279.46,272.59,279.22,280.07,280.08
279.46,280.39,279.21,279.59,272.76,279.09,279.98,280.03
279.59,279.66,278.50,279.14,272.93,278.97,279.83,279.95
279.14,279.73,278.68,279.35,273.10,278.85,279.74,279.89
279.35,280.41,279.06,280.00,273.27,278.76,279.79,279.90
280.00,280.52,279.75,280.22,273.42,278.66,279.87,279.93
280.21,280.32,279.78,280.31,273.57,278.62,279.95,279.97
280.31,281.56,280.08,281.52,273.73,278.61,280.23,280.11
281.52,281.95,281.24,281.64,273.89,278.60,280.49,280.26
281.64,282.52,281.54,282.21,274.04,278.61,280.80,280.44
282.21,282.93,281.81,282.92,274.20,278.72,281.19,280.68
282.92,283.70,282.48,282.89,274.38,278.84,281.50,280.89
285.02,285.75,284.62,285.52,274.57,279.06,282.23,281.33
285.52,286.29,285.16,285.85,274.76,279.32,282.89,281.76
285.84,286.41,285.50,285.69,274.94,279.56,283.40,282.14
285.68,286.67,285.42,286.62,275.12,279.84,283.98,282.56
286.62,287.21,286.50,286.91,275.30,280.11,284.51,282.98
286.91,287.00,286.42,286.70,275.47,280.35,284.91,283.33
286.70,287.35,286.70,287.07,275.66,280.61,285.30,283.69
287.07,287.09,286.17,286.54,275.84,280.84,285.53,283.96
286.54,286.71,286.10,286.52,276.03,281.11,285.71,284.20
286.51,287.13,286.51,286.86,276.22,281.36,285.92,284.46
286.86,287.60,286.77,287.36,276.43,281.64,286.18,284.73
287.36,287.90,287.26,287.52,276.63,281.83,286.42,285.00
287.52,288.27,287.04,287.11,276.83,282.02,286.55,285.20
291.00,291.40,289.45,289.48,277.05,282.26,287.08,285.61
289.48,289.99,288.53,288.83,277.26,282.47,287.40,285.91
288.84,288.95,285.62,285.82,277.45,282.61,287.11,285.90
285.84,287.44,285.58,287.27,277.65,282.78,287.14,286.03
287.27,287.79,286.51,286.81,277.84,282.95,287.08,286.11
286.84,287.46,285.70,286.41,277.97,283.09,286.96,286.14
286.41,287.52,286.19,287.31,278.11,283.25,287.02,286.25
287.32,287.64,287.04,287.41,278.25,283.42,287.09,286.36
287.42,288.02,287.00,287.45,278.39,283.57,287.16,286.46
287.45,288.36,287.45,288.09,278.52,283.73,287.33,286.62
288.09,288.33,287.07,287.35,278.65,283.89,287.33,286.69
287.35,288.09,286.80,287.54,278.78,284.01,287.37,286.77
287.54,287.69,285.40,285.77,278.89,284.08,287.08,286.67
291.59,292.04,290.41,291.98,279.04,284.25,287.97,287.18
291.98,292.10,290.80,292.08,279.19,284.43,288.72,287.65
292.08,292.67,291.76,292.39,279.34,284.63,289.38,288.10
292.39,292.97,291.91,292.78,279.49,284.83,290.00,288.54
292.78,293.14,292.28,292.89,279.63,285.06,290.53,288.96
292.88,293.66,292.88,293.59,279.73,285.33,291.08,289.40
293.59,294.37,293.58,293.94,279.85,285.61,291.60,289.83
293.95,294.58,293.95,294.01,279.98,285.88,292.04,290.23
294.00,294.10,293.38,293.69,280.09,286.13,292.34,290.56
293.69,294.07,292.51,293.42,280.20,286.39,292.54,290.83
293.42,294.12,293.02,293.97,280.30,286.69,292.80,291.13
293.99,294.87,293.87,294.79,280.41,287.01,293.16,291.48
294.80,294.88,293.08,293.19,280.52,287.29,293.17,291.64
291.69,291.73,289.58,291.24,280.62,287.52,292.81,291.60
291.24,292.15,290.62,292.02,280.73,287.78,292.67,291.64
292.01,292.24,290.58,291.04,280.86,288.01,292.37,291.59
291.04,291.91,290.77,290.80,280.98,288.23,292.09,291.51
290.79,291.32,289.55,289.60,281.10,288.41,291.64,291.33
289.59,289.68,288.78,289.20,281.22,288.59,291.19,291.13
289.20,290.13,288.59,289.98,281.33,288.76,290.97,291.02
289.96,290.42,289.33,289.76,281.43,288.92,290.75,290.90
289.76,289.96,289.11,289.22,281.52,289.06,290.47,290.74
289.21,289.95,288.86,289.72,281.62,289.20,290.34,290.64
289.71,290.21,288.95,289.33,281.71,289.33,290.15,290.52
289.33,290.90,289.12,290.56,281.81,289.43,290.23,290.52
290.55,291.18,289.58,290.38,281.90,289.52,290.25,290.51
285.16,286.04,284.42,285.07,281.97,289.51,289.31,289.99
285.08,285.96,284.16,285.09,282.04,289.48,288.54,289.52
285.09,285.70,284.58,285.08,282.09,289.44,287.91,289.10
285.07,285.09,283.87,283.88,282.14,289.38,287.18,288.60
