Date,Open,High,Low,Close,FW Moving Average 25
7/13/2016,215.42,215.45,214.35,214.92,209.45
7/14/2016,216.34,216.67,215.66,216.12,210.00
7/15/2016,216.79,217.01,215.31,215.83,210.52
7/18/2016,215.95,216.60,215.67,216.41,211.07
7/19/2016,215.88,216.23,215.63,216.19,211.58
7/20/2016,216.75,217.37,216.24,217.09,212.14
7/21/2016,216.92,217.22,215.75,216.27,212.61
7/22/2016,216.39,217.30,216.10,217.24,213.12
7/25/2016,217.00,217.06,215.97,216.65,213.56
7/26/2016,216.53,217.17,215.76,216.75,213.98
7/27/2016,217.17,217.27,215.62,216.52,214.36
7/28/2016,216.26,217.11,215.75,216.77,214.73
7/29/2016,216.45,217.54,216.13,217.12,215.09
8/1/2016,217.15,217.65,216.41,216.94,215.43
8/2/2016,216.64,216.83,214.57,215.55,215.62
8/3/2016,215.45,216.25,215.13,216.18,215.80
8/4/2016,216.30,216.78,214.25,216.41,215.96
8/5/2016,217.19,218.23,217.07,218.18,216.23
8/8/2016,218.39,218.52,217.74,218.05,216.47
8/9/2016,218.12,218.76,217.80,218.18,216.68
8/10/2016,218.29,218.40,217.23,217.64,216.83
8/11/2016,218.25,218.94,217.95,218.65,217.03
8/12/2016,218.26,218.71,217.99,218.46,217.19
8/15/2016,218.89,219.50,218.88,219.09,217.37
8/16/2016,218.56,218.68,217.96,217.96,217.46
8/17/2016,217.98,218.53,217.02,218.37,217.56
8/18/2016,218.31,218.90,218.21,218.86,217.69
8/19/2016,218.34,218.75,217.74,218.54,217.79
8/22/2016,218.25,218.80,217.83,218.53,217.88
8/23/2016,219.23,219.60,218.90,218.97,218.00
8/24/2016,218.80,218.91,217.36,217.85,218.02
8/25/2016,217.40,218.19,217.22,217.70,218.03
8/26/2016,217.90,219.12,216.25,217.29,218.00
8/29/2016,217.43,218.67,217.40,218.36,218.06
8/30/2016,218.25,218.59,217.35,218.00,218.08
8/31/2016,217.64,217.75,216.47,217.38,218.05
9/1/2016,217.38,217.73,216.03,217.39,218.02
9/2/2016,218.36,218.87,217.70,218.37,218.06
9/6/2016,218.72,219.12,217.86,219.03,218.15
9/7/2016,218.84,219.22,218.30,219.01,218.23
9/8/2016,218.60,218.94,218.15,218.51,218.26
9/9/2016,217.00,217.03,213.25,213.28,217.88
9/12/2016,212.39,216.81,212.31,216.34,217.75
9/13/2016,214.85,215.15,212.50,213.23,217.38
9/14/2016,213.29,214.70,212.50,213.15,217.03
9/15/2016,213.00,215.73,212.75,215.28,216.85
9/16/2016,213.50,213.69,212.57,213.37,216.53
9/19/2016,214.10,214.88,213.03,213.41,216.23
9/20/2016,214.43,214.59,213.38,213.42,215.95
9/21/2016,214.22,216.03,213.44,215.82,215.87
9/22/2016,216.99,217.53,216.71,217.18,215.90
9/23/2016,216.73,216.88,215.88,215.99,215.84
9/26/2016,215.02,215.23,214.01,214.24,215.66
9/27/2016,214.03,215.68,213.62,215.57,215.59
9/28/2016,215.81,216.82,214.71,216.64,215.62
9/29/2016,216.39,216.87,214.04,214.68,215.50
9/30/2016,215.67,217.12,215.36,216.30,215.51
10/3/2016,215.81,216.04,215.04,215.78,215.49
10/4/2016,215.86,216.17,213.99,214.68,215.39
10/5/2016,215.37,216.13,215.33,215.63,215.37
10/6/2016,215.39,216.04,214.74,215.78,215.38
10/7/2016,216.06,216.30,214.19,215.04,215.33
10/10/2016,216.14,216.70,215.99,216.16,215.37
10/11/2016,215.64,215.74,212.58,213.43,215.21
10/12/2016,213.61,214.32,213.01,213.71,215.09
10/13/2016,212.15,213.59,211.21,213.01,214.93
10/14/2016,214.14,214.69,213.03,213.12,214.80
10/17/2016,213.07,213.39,212.17,212.38,214.61
10/18/2016,214.24,214.31,213.27,213.71,214.54
10/19/2016,214.00,214.64,213.60,214.28,214.50
10/20/2016,213.85,214.53,213.11,213.88,214.44
10/21/2016,212.95,214.08,212.76,213.98,214.38
10/24/2016,214.98,215.32,214.48,214.89,214.40
10/25/2016,214.70,214.98,213.98,214.17,214.35
10/26/2016,213.22,214.42,212.93,213.74,214.27
10/27/2016,214.57,214.62,213.08,213.17,214.15
10/28/2016,213.13,213.93,211.71,212.54,213.99
10/31/2016,212.95,213.19,212.36,212.55,213.85
11/1/2016,212.90,212.99,209.60,211.01,213.59
11/2/2016,210.67,211.10,209.23,209.74,213.25
11/3/2016,210.01,210.24,208.46,208.78,212.86
11/4/2016,208.91,209.89,208.38,208.55,212.47
11/7/2016,211.47,213.19,211.30,213.15,212.45
11/8/2016,212.72,214.77,212.38,214.11,212.52
11/9/2016,212.47,217.10,212.34,216.38,212.76
11/10/2016,217.35,218.31,215.22,216.92,213.04
11/11/2016,216.13,216.70,215.32,216.42,213.28
11/14/2016,216.99,217.27,215.72,216.59,213.53
11/15/2016,217.00,218.28,216.80,218.28,213.91
11/16/2016,217.52,218.14,217.42,217.87,214.24
11/17/2016,218.04,219.06,217.92,218.99,214.65
11/18/2016,219.04,219.27,218.29,218.50,214.99
11/21/2016,219.19,220.18,219.00,220.15,215.45
11/22/2016,220.49,220.79,219.73,220.58,215.92
11/23/2016,220.00,220.76,219.75,220.70,216.38
11/25/2016,221.12,221.56,221.01,221.52,216.88
11/28/2016,221.19,221.48,220.36,220.48,217.27
11/29/2016,220.58,221.44,220.17,220.91,217.68
11/30/2016,221.65,221.82,220.31,220.38,218.03
12/1/2016,220.73,220.73,219.15,219.57,218.30
12/2/2016,219.70,220.25,219.26,219.68,218.56
12/5/2016,220.67,221.40,220.42,221.00,218.90
12/6/2016,221.24,221.74,220.66,221.70,219.27
12/7/2016,221.50,224.67,221.38,224.60,219.83
12/8/2016,224.58,225.70,224.26,225.15,220.40
12/9/2016,225.44,226.53,225.37,226.51,221.02
12/12/2016,226.42,226.96,225.76,226.25,221.56
12/13/2016,227.01,228.34,227.00,227.76,222.17
12/14/2016,227.41,228.23,225.37,225.88,222.59
12/15/2016,226.13,227.81,225.89,226.81,223.04
12/16/2016,225.99,226.08,224.67,225.04,223.33
12/19/2016,225.24,226.02,225.08,225.53,223.63
12/20/2016,226.16,226.57,225.88,226.40,223.96
12/21/2016,226.27,226.45,225.77,225.77,224.22
12/22/2016,225.61,225.74,224.92,225.38,224.43
12/23/2016,225.42,225.72,225.21,225.71,224.64
