Open,High,Low,Close
132.83,133.64,132.36,133.56
133.56,133.97,133.24,133.27
133.20,133.23,132.07,132.28
132.28,132.31,131.19,131.19
131.19,131.68,130.58,131.61
131.63,131.84,130.45,130.48
130.49,130.92,130.00,130.51
130.51,131.38,130.41,130.75
130.75,131.83,130.63,131.81
131.82,132.13,131.50,131.93
132.01,132.13,130.45,130.54
130.58,131.00,130.00,130.08
130.07,130.10,129.20,129.66
129.66,130.45,129.58,130.35
130.35,130.86,130.02,130.75
130.75,130.80,129.81,129.85
129.86,130.68,129.49,130.27
130.27,130.46,129.81,129.85
129.85,129.90,129.21,129.69
129.69,129.76,128.77,128.83
128.82,129.33,128.40,128.97
128.97,129.93,128.84,129.58
129.58,130.57,129.36,130.57
130.55,130.91,130.40,130.48
130.48,130.48,129.60,129.87
129.81,130.14,129.26,130.08
130.08,130.84,129.99,130.65
130.65,130.73,130.16,130.46
130.46,131.10,130.28,130.53
130.53,130.91,129.84,129.95
129.95,130.09,128.65,129.21
129.25,130.22,128.85,130.21
130.21,130.80,129.58,129.83
129.83,130.57,129.59,129.74
129.73,130.00,128.90,129.26
129.26,130.19,129.10,129.90
129.90,129.90,128.65,128.90
128.90,129.31,128.63,128.67
128.67,129.18,128.58,129.17
129.18,130.02,129.12,129.99
129.97,130.83,129.93,130.73
130.73,131.01,130.32,130.72
130.76,131.26,130.47,131.10
131.10,131.61,131.02,131.16
131.15,131.16,130.37,130.60
130.60,131.37,130.50,130.90
130.90,131.22,130.28,130.91
130.91,131.09,130.30,130.54
130.54,131.29,130.23,131.08
131.08,131.31,130.88,130.99
130.99,131.19,129.75,129.82
129.82,130.17,129.66,129.66
129.66,129.90,129.00,129.74
129.74,129.74,129.21,129.33
129.33,129.33,128.84,129.24
129.24,129.41,128.78,129.04
129.08,129.81,128.50,128.50
128.51,129.22,128.50,129.20
129.24,129.27,128.82,128.94
129.00,129.79,129.00,129.52
129.52,130.01,128.79,128.88
128.88,128.88,127.32,127.69
127.69,127.77,127.20,127.38
127.38,127.84,127.25,127.69
127.69,127.91,127.24,127.60
127.60,127.98,126.96,127.05
127.05,127.48,126.76,127.44
